category_0,category_1,category_2,price,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
cat_150,cat_385,cat_10,48.59457270149858,1,2017-09-06 14:25:57.000000,2017-09-08 22:56:36.000000,8,1,4,0,62.42,59.99,68.34,11.0,13.0,32.0,5.0,5.0,12.0,0.0,0.0,0.0
cat_412,cat_330,cat_12,32.37748076144188,1,2018-07-01 12:34:28.000000,2018-07-01 20:05:35.000000,1,0,2,0,35.04,29.48,39.97,7.0,1.0,7.0,6.0,2.0,8.0,0.0,0.0,0.0
cat_412,cat_3,cat_12,27.28230052652896,1,2018-07-28 17:47:43.000000,2018-07-30 00:18:32.000000,2,0,2,0,33.68,33.68,33.68,7.0,4.0,7.0,6.0,5.0,8.0,0.0,0.0,0.0
cat_393,cat_347,cat_28,52.68529769137303,1,2018-06-22 08:41:36.000000,2018-06-25 18:42:11.000000,1,0,3,0,60.23,49.42,89.08,24.0,1.0,7.0,17.0,3.0,8.0,0.0,1.0,0.0
cat_963,cat_478,cat_41,10.579181855002028,1,2018-07-16 14:37:43.000000,2018-07-16 14:25:08.000000,1,0,1,0,13.13,13.13,13.13,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
cat_783,cat_147,cat_12,340.2187120291616,1,2018-07-13 03:47:02.000000,2018-07-13 03:39:42.000000,1,0,1,0,428.85,329.69,510.77,5.0,5.0,27.0,5.0,3.0,15.0,0.0,0.0,0.0
cat_1020,cat_241,cat_28,502.22762251923865,1,2017-07-31 07:32:37.000000,2017-07-31 06:53:07.000000,0,0,1,0,620.0,619.56,620.25,1.0,5.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0
cat_722,cat_450,cat_35,881.4499797488862,1,2018-01-17 14:26:16.000000,2018-01-17 14:11:16.000000,0,0,2,0,431.26,405.08,527.87,1.0,7.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0
cat_807,cat_450,cat_26,760.720939651681,1,2017-11-12 11:22:59.000000,2017-12-23 11:04:21.000000,4,0,1,0,580.17,280.09,951.05,5.0,7.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0
cat_960,cat_400,cat_12,445.5245038477116,1,2018-07-22 10:07:11.000000,2018-07-22 09:50:09.000000,1,0,1,0,550.14,550.0,550.98,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
cat_610,cat_372,cat_28,345.0789793438639,1,2017-05-09 15:16:42.000000,2017-05-09 15:16:42.000000,1,0,1,0,337.84,239.02,426.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
cat_928,cat_400,cat_10,615.6338598622924,1,2017-05-06 16:46:20.000000,2017-05-06 16:45:57.000000,0,0,1,0,748.38,532.0,769.31,3.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0
cat_814,cat_409,cat_43,445.5245038477116,1,2017-07-05 15:31:30.000000,2017-07-05 15:29:08.000000,0,0,1,0,329.49,253.0,421.41,2.0,1.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0
cat_977,cat_409,cat_41,234.91292021061162,1,2018-01-24 23:24:06.000000,2018-01-24 23:07:12.000000,0,0,1,0,278.64,238.44,328.32,2.0,1.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0
cat_780,cat_74,cat_20,54.0947752126367,1,2017-12-26 13:30:51.000000,2018-01-18 10:28:31.000000,1,0,2,0,67.18,51.08,71.28,1.0,2.0,5.0,2.0,4.0,5.0,0.0,0.0,0.0
cat_871,cat_322,cat_10,2426.0834345889025,1,2018-04-23 22:39:45.000000,2018-04-23 22:39:44.000000,1,0,1,0,2581.82,1497.2,2995.0,27.0,7.0,32.0,25.0,21.0,37.0,0.0,1.0,0.0
cat_871,cat_322,cat_10,805.9943296881329,1,2017-09-13 00:31:00.000000,2017-09-13 00:30:59.000000,0,0,1,0,703.58,348.05,995.0,27.0,7.0,32.0,25.0,21.0,37.0,0.0,1.0,0.0
cat_678,cat_409,cat_33,185.51640340218717,1,2018-07-12 02:57:45.000000,2018-07-12 02:52:37.000000,1,0,1,0,405.98,229.02,620.0,37.0,6.0,3.0,41.0,5.0,2.0,0.0,0.0,0.0
cat_678,cat_159,cat_28,464.9655731065208,1,2018-07-24 23:35:09.000000,2018-07-24 23:22:14.000000,1,0,1,0,746.69,570.94,1015.0,37.0,5.0,22.0,41.0,6.0,23.0,0.0,0.0,0.0
cat_315,cat_158,cat_35,18.550020251113807,1,2017-11-26 05:27:27.000000,2017-11-26 05:27:27.000000,4,0,5,0,28.78,22.9,31.17,4.0,4.0,4.0,5.0,5.0,5.0,0.0,1.0,0.0
cat_356,cat_283,cat_12,554.8805184285136,1,2018-01-24 04:10:52.000000,2018-01-24 04:10:52.000000,1,0,1,0,729.86,685.0,806.83,4.0,6.0,15.0,2.0,5.0,4.0,0.0,0.0,0.0
cat_699,cat_341,cat_8,140.94775212636696,1,2018-02-27 14:50:47.000000,2018-02-27 14:50:47.000000,2,0,1,0,186.34,145.0,290.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
cat_742,cat_502,cat_3,639.935196435804,1,2017-06-15 02:57:22.000000,2018-07-02 01:30:43.000000,0,0,2,0,690.12,402.03,1080.76,0.0,1.0,1.0,3.0,5.0,6.0,0.0,0.0,0.0
cat_659,cat_331,cat_37,129.60712839206158,1,2018-06-11 17:43:37.000000,2018-06-11 17:43:36.000000,1,0,3,0,160.0,160.0,160.0,7.0,3.0,7.0,13.0,12.0,13.0,0.0,0.0,0.0
cat_756,cat_331,cat_43,71.93195625759418,1,2018-06-20 18:13:22.000000,2018-06-20 18:11:47.000000,1,0,1,0,97.3,88.8,148.0,1.0,3.0,1.0,6.0,12.0,8.0,0.0,0.0,0.0
cat_738,cat_257,cat_32,72.49898744430944,1,2018-06-14 19:43:24.000000,2018-06-14 19:43:02.000000,0,0,1,0,72.8,59.9,98.5,23.0,0.0,3.0,38.0,1.0,19.0,0.0,0.0,0.0
cat_830,cat_3,cat_3,34.993924665856625,1,2018-06-29 02:02:36.000000,2018-06-29 02:01:45.000000,1,1,1,0,66.52,43.2,75.99,3.0,3.0,14.0,7.0,4.0,13.0,0.0,0.0,0.0
cat_663,cat_400,cat_16,222.7622519238558,1,2017-12-30 02:21:55.000000,2017-12-30 02:21:12.000000,0,0,1,0,258.51,192.5,290.74,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
cat_812,cat_46,cat_19,1121.911705143783,1,2018-01-22 02:02:48.000000,2018-01-22 01:59:10.000000,0,0,1,0,1246.19,689.03,1394.55,1.0,0.0,9.0,3.0,2.0,5.0,0.0,0.0,0.0
cat_820,cat_56,cat_19,473.8760631834752,1,2017-12-04 03:51:18.000000,2017-12-04 03:50:40.000000,0,0,1,0,395.0,292.5,619.49,1.0,0.0,9.0,1.0,2.0,5.0,0.0,0.0,0.0
cat_295,cat_382,cat_43,720.9396516808424,1,2017-11-11 10:47:36.000000,2017-11-11 10:41:09.000000,0,0,2,0,860.33,534.0,890.0,0.0,3.0,1.0,2.0,7.0,3.0,0.0,0.0,0.0
cat_577,cat_56,cat_43,263.26447954637507,1,2018-04-28 00:53:34.000000,2018-04-28 00:48:57.000000,0,0,1,0,170.66,162.5,173.73,3.0,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0
cat_577,cat_382,cat_19,288.375860672337,1,2018-04-28 00:57:10.000000,2018-04-28 00:48:57.000000,2,0,5,0,333.0,267.0,377.54,3.0,3.0,2.0,6.0,7.0,5.0,0.0,0.0,0.0
cat_347,cat_147,cat_12,257.59416767922244,1,2017-12-22 06:36:55.000000,2017-12-22 06:32:25.000000,1,0,1,0,487.72,318.0,859.84,9.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0
